#
# <customer country code>;<product type>;<store country code>[;<lang>...]
# where country codes are assumed to be iso3166-alpha2
# and product type is either (P)hysical or (D)digital
#
ML;P;US
ML;D;US
MM;P;US
MM;D;US
MM;P;US
MM;D;US
MN;P;US
MN;D;US
MO;P;US
MO;D;US
MP;P;US
MP;D;US
MQ;P;US
MQ;D;US
MR;P;US
MR;D;US
MS;P;US
MS;D;US
MT;P;GB
MT;D;GB
MU;P;US
MU;D;US
MV;P;US
MV;D;US
MW;P;US
MW;D;US
MX;P;MX
MX;D;MX
MY;P;US
MY;D;US
MZ;P;US
MZ;D;US
NA;P;US
NA;D;US
NC;P;US
NC;D;US
NE;P;US
NE;D;US
NF;P;US
NF;D;US
NG;P;US
NG;D;US
NI;P;US
NI;D;US
NL;P;DE
NL;D;NL
NO;P;GB
NO;D;GB
NP;P;US
NP;D;US
NR;P;US
NR;D;US
NU;P;US
NU;D;US
NZ;P;US
NZ;D;US
OM;P;US
OM;D;US
PA;P;US
PA;D;US
PE;P;US
PE;D;US
PF;P;US
PF;D;US
PG;P;US
PG;D;US
PH;P;US
PH;D;US
PK;P;US
PK;D;US
PL;P;GB
PL;D;GB
PM;P;US
PM;D;US
PN;P;US
PN;D;US
PN;P;US
PN;D;US
PR;P;US
PR;D;US
PS;P;US
PS;D;US
PS;P;US
PS;D;US
PS;P;US
PS;D;US
PT;P;ES
PT;D;ES
PW;P;US
PW;D;US
PY;P;US
PY;D;US
QA;P;US
QA;D;US
RE;P;US
RE;D;US
RO;P;IT
RO;D;IT
RS;P;US
RS;D;US
RU;P;GB
RU;D;GB
RW;P;US
RW;D;US
SA;P;GB
SA;D;GB
SB;P;US
SB;D;US
SC;P;US
SC;D;US
SD;P;US
SD;D;US
SE;P;GB
SE;D;GB
SG;P;US
SG;D;US
SH;P;US
SH;D;US
SI;P;GB
SI;D;GB
SJ;P;US
SJ;D;US
SK;P;GB
SK;D;GB
SL;P;US
SL;D;US
SM;P;US
SM;D;US
SN;P;US
SN;D;US
SO;P;US
SO;D;US
SR;P;US
SR;D;US
SS;P;US
SS;D;US
ST;P;US
ST;D;US
ST;P;US
ST;D;US
SV;P;US
SV;D;US
SX;P;US
SX;D;US
SY;P;US
SY;D;US
SZ;P;US
SZ;D;US
TC;P;US
TC;D;US
TD;P;US
TD;D;US
TF;P;US
TF;D;US
TG;P;US
TG;D;US
TH;P;US
TH;D;US
TJ;P;US
TJ;D;US
TK;P;US
TK;D;US
TL;P;US
TL;D;US
TM;P;US
TM;D;US
TN;P;US
TN;D;US
TO;P;US
TO;D;US
TR;P;GB
TR;D;GB
TT;P;US
TT;D;US
TV;P;US
TV;D;US
TW;P;US
TW;D;US
TZ;P;US
TZ;D;US
UA;P;GB
UA;D;GB
UG;P;US
UG;D;US
UM;P;US
UM;D;US
US;P;US
US;D;US
UY;P;US
UY;D;US
UZ;P;US
UZ;D;US
VA;P;IT
VA;D;IT
VA;P;IT
VA;D;IT
VC;P;US
VC;D;US
VE;P;US
VE;D;US
VG;P;US
VG;D;US
VG;P;US
VG;D;US
VI;P;US
VI;D;US
VI;P;US
VI;D;US
VN;P;US
VN;D;US
VU;P;US
VU;D;US
WF;P;US
WF;D;US
WS;P;US
WS;D;US
YE;P;US
YE;D;US
YT;P;US
YT;D;US
ZA;P;US
ZA;D;US
ZM;P;US
ZM;D;US
ZW;P;US
ZW;D;US
